Prefix	Stem	Tone	POS	Class	Gloss
	aa	HH	adv.		no, a word of denial or refusal
	adiresi	HLHL	n	9	an address
	adzima	HHL	v		lend; borrow
	aina	HHL	v		press, as of clothes
	aini	HHL	n	9	an iron used for pressing clothes
	ainika	HHHL	v		be well ironed
	ajee	LLH	dem.		those
	akabala	HHHL	v		wonder; perplexed; amazed; hesitate
chi	ako	LL	n	7	corn head
zwi	ako	LL	n	8	corn heads
	akugwa	HHL	v		be enjoyed
	akula	HHL	v		to enjoy
	akuna	LHL	adv.		nothing
	alakana	LLLL	v		remember
	alakanisa	LLLLL	v		remind; advise; cause to remember
zw	amba	LH	n	8	lovers
	amba	LL	v		 plead   
ch	amba	LH	n	7	lover
	ambaamba	LLLL	v		to grope, in search of something
	ambadza	LLL	v		clothe or help put on clothing
	ambala	LLL	v		to put on clothes or garments
chi	ambalo	LLL	n	7	type of clothing
	ambuka	LLL	v		clear up, as of smoke or clouds; come off, as a shoe 
	ambula	LLL	v		to undress or take-off your clothes
	ameni	HHL	n	9	Amen
ch	ampupuludze	HHHHL	n	7	dust storm
zw	ampupuludze	HHHHL	n	8	dust storms
	amuchidza	LLLL	v		pay, as a salary
	amuchila	LLLL	v		receive
	amula	LLL	v		relieve someone of some burden 
b	ana	LH	n	2	children
ng'w	ana	LH	n	1	child
ba	anadi	HHH	n	2	girls; young women
ng'w	anana	LHH	n	1	girl; female child
ng'w	anangu	LHL	n	1	my child
	andama	HHL	adj.		scattered about in all directions
ng'w	anedu	LHL	n	1	young sibling
	anga	LL	v		freeze; congeal
	angama	HHL	v		float; be buoyant
	angudza	LLL	v		bathe someone, as a child
	angula	LLL	v		to menstruate; to bathe 
	angulanya	LLLL	v		to stop a fight
	angulila	LLLL	v		help someone from being beaten
ma	ano	LL	n	6	plans; devices; schemes
	apajee	LHLH	dem.		the place yonder; over there
	apuli	HHL	n	9	apple
	arametsa	LHHL	v		to cause to inhale medicinal fumes or steam
ch	arobi	HLH	n	7	cooked entrails
	ashama	HHL	v		broad; wide; open one's mouth; yawn
	athula	HHL	v		decide; judge; arbitrate; pass judgement
	awara	HHH	n	9	hour
	azha	LL	v		help someone
chi	azha	LL	n	7	hand; the palm of a hand
	baakanya	HHHL	v		prepare; to repair; to make ready or set in order
m	baakanyi	HHHL	n	1	repairer
	baba	HL	v		to itch 
m	baba-shulo	HHHL	n	3	nettles; plant of the nettle family
	babaila	HHHL	v		walk softly on account of tender or sore feet; walk stealthily
	babani	HHL	n	5	hairy caterpillar
	babatadza	HHHL	v		make to lie flat on the ground
	babatala	HHHL	v		lie flat on the ground, as of some lizard
	bachilalu	HHHH	n	1a	name used for calling women whose totem is a hare
	bachinabumi	HHHLH	n	1a	name used for calling women whose totem is a heart
li	badhu	LL	n	11	rib
	baka	HH	v		build; construct
chi	baka	LL	n	7	time
m	baki	HH	n	1/2	builder; an inhabitant
	bala	LL	v		read; count
chi	bala	HH	n	7	light complexion
li	bala	HH	n	11	clearing; an open place
m	bala	HH	n	3	colour
ma	balabala	HHLL	n	6	multi-coloured; with many shades of colour
m	balabali	LLLL	n	1	rumour monger; a gossiper
m	bali	LL	n	1	reader; an enumerator
lu	balilo	LLL	n	11	binding round the grass roof onto which the thatch is tied; lath
m	balilo	LLL	n	10	bindings under the thatch of a house; laths
	balisa	LLL	v		cause to read
	bamakulukusa	HHHHLH	n	1a	name used for calling women of a particular totem
	bamathambo	HHHH	n	1a	name used for calling women whose totem is a duiker
	bamba	LH	n	5	prostitute
bu	bamba	LH	n	11	prostitution
m	bambo	LL	n	10	pegs
lu	bambo	LL	n	11	peg
	bambula	LLL	v		crucify; stretch out the skin of a slaughtered animal with wooden pegs in the sun to dry
	bampengo	HHL	n	1a	name used for calling women of a particular totem
chi	bandana	LLH	n	7	beast of prey; a wild beast
	banga	LL	n	5	scar
	bangalala	HHHL	v		be extreme
	banikuana	HHHHH	n	1a	name used for calling women of a particular totem
chi	banjoro	LHL	n	7	one-string violin; a fiddle
	banka	HH	n	9	bank 
chi	banka	HH	n	7	piece of ground missed by the plough or hoe when cultivating
li	bante	HL	n	11	belt
	bari	HL	n	5	scar
	basekulu	HHLL	n	1a	maternal uncle
chi	bat'a	LL	n	7	patch
	bat'ela	LLL	v		to patch, as of a torn garment
li	bat'i	LH	n	11	door
	batategulu	HHHLL	n	1a	grandfather
	batategulugulu	HHHLLLL	n	1a	great grandfather
	batatenini	HHHHL	n	1a	father's younger brother, a paternal uncle
	batetshi	HHL	n	1a	owner
lu	batsha	LL	n	11	splinter of wood
bu	bava	LH	n	14	theft
	bazha	LL	n	5	heat period, as of a cow 
	be	H	aux. v		be
chi	bebe	LL	n	7	numbness; a tingling sensation in the numb limb
bu	belete	HHH	n	14	prostitution
chi	belu	LH	n	7	African hoopoe bird
	bende	LL	n	5/6	gap from a missing tooth
	bendzwa	LL	v		pout; push out the lips as a sign of contempt
	benga	LL	v		make biltong
	benga	HH	v		to hate 
lu	bengo	HL	n	11	hatred
	besa	LL	v		set alight, as of a fire; start a fire
m	besi	LL	n	1	baker; one who grills or roasts
chi	beso	LL	n	7	cooking places; grates; grid-irons; fire place; a hearth
	bezha	LL	v		to curve
m	bezhi	LL	n	1	carpenter; one who carves; a wood worker
m	bga	H	n	9/10	dog
chi	bga	H	n	7	stray dog
chi	bgana	LH	n	7	small round stone used for grinding tobacco
m	bganana	HHH	n	9/10	puppy
	bge	L	n	5	stone
m	bgeti	LL	n	3	type of tree
	bgilila	LHL	v		return; go back
	bgililana	LHHL	v		re-establish friendship; re-establish diplomatic relations
m	bha	H	n	3	stick split in the middle used for carrying stuff by herdboys
	bhabha	LL	v		carry a baby or another person on ones back
m	bhabhi	LL	n	1	one who carries a baby; a nanny
	bhabhu	LH	interj.		said to a baby when coaxing it to be carried on the back
	bhabhu	LH	ideo.		inviting baby to be carried on back
	bhadi	HL	n	9	bad luck
	bhadza	LH	n	5	plough; hoe
	bhaibhili	LHLL	n	9	bible
	bhaisikili	LLHHH	n	9/6	bicycle
	bhaisikopo	LHHHH	n	9	movie
	bhakasa	LLL	n	5	pole enclosure around living quarters
	bhakhwa	HL	v		be arrested; be drunk
chi	bhako	HL	n	7	snuff box or horn
	bhalaza	LHH	n	5	manmade deep pool which cattle drink from
	bhalo	LL	n	5	bald head
	bhamba	LH	n	5	famine; hunger; drought
	bhamula	LLL	v		smack or hit hard with the palm of the hand
	bhanana	LHL	n	9	banana
	bhandabuko	LHHL	n	5	front leg of an animal
	bhande	LH	n	7a/2a	type of sweet wild bulb
	bhangwana	LLH	n	5	small log
	bhantiti	LHL	n	5	prisoner
	bhapiro	LLL	n	5	wing, as of a bird
	bhapu	LH	n	5	lung
	bhara	HL	n	9	bar
	bharampara	LHHL	n	5	wild person
	bhata	HL	v		to hold; touch
	bhata-khole	LHLH	v		lead, as of oxen that are inspanned
	bhatana	LHL	v		hold each other; join together
	bhatilila	LHHL	v		stand in for; assist a calf to suckle from a cow not its mother
	bhatisa	LHL	v 		help someone carry something; to ask someone to run an errand for you; cause to hold; have someone arrested
	bhato	HL	n	5	buttock
	bhatsha	HL	v		help; assist
	bhatshanya	LHL	v		to connect; join one to the other
	bhatshila	LHL	v		catch something on a trap
	bhavu	HL	n	5	bath tub
	bhaya	LL	v		poke or pierce something; slaughter, as an animal
chi	bhayo	LL	n	7	pneumonic pain; shooting pains
	bhazha-mbga	HLH	n	5	unripe fruit; fruit in the first stage of ripening
	bhe	L	n	5	honey comb
	bhechu	LL	n	5	euphemism for penis
	bhelelo	LHL	n	5	end
chi	bhembezha	LHH	n	7	carry a child on the back without a blanket  ie. hold a child with hands onto your back
	bhende	LL	n	6	tail of a horse
	bhepe	LL	n	5	beer mugs; calabashes
	bhepHo	HH	n	5	common cold; a catarrhal cold
	bhesu	HH	n	5	squirrel's tail; a sheep's tail
	bhezi	HL	n	9	bass voice in music
	bhika	LL	v		cook; to question closely
m	bhiki	LL	n	1	cook
	bhinda	LH	n	5	spinster
	bhirikiti	LLLL	interj.		fall heavily of someone
	bhizha	LL	v		leak
	bhobola	LLL	n	5	greens from the leaves of a pumpkin plant
	bhofu	LL	n	5	blind person or animal
	bhokisi	LHL	n	5	box;  bag;  coffin
	bhola	HL	n	9	ball
	bhoma	HL	v		smear, as with body lotion; anoint with oil
	bhombo	LL	n	5	grasshopper; a species of locust
	bhomela	LHL	v		smear cow teats with dung to prevent calf from sucking
	bhonyongedza	LHHL	v		to make rough sketches; carelessly sown or knotted
	bhoro	LH	n	9	Bushman dance 
	bhothoko	LHH	n	5	Ndebele speaker
	bhubhunu	LLH	n	7	cartilage
	bhubuzebe	LHLH	n	5	deaf person
	bhuda	HH	v		to come out
	bhuda-nkota	LHLH	v		to bleed through the nose
	bhudzi	LH	n	5	melon that is not of the sweet species but is eaten
	bhukucha	LLL	v		to swim
	bhula	LL	v		take (pot) off fire
	bhulomu	LHL	n	5	 flower
	bhulubusi	LHHH	n	5	thick smoke
	bhulugwe	LHL	n	5	blue headed big lizard
	bhuluma	LHL	n	14	type of female underwear
	bhumu	LH	n	5	crest of feathers on a bird's head
	bhundu	HH	n	5	swelling; a knot in a string; a knob on a stick
	bhupHe	LH	n	5	greedy person
	bhurama	LHL	n	5	cow or ox of the Brahman breed
	bhuriki	LHL	n	14	brake, as of a car
ma	bhutanlamu	LHHH	n	6	mumps
	bhute	LH	n	5	small peanut, a result of poor crop
	bhutshi	HL	n	5	boot (a shoe)
	bhutu	LL	n	5	testicles
	bhuzo	LL	n	9	question
	bhuzwa	LL	v		ask; question; enquire; find out
	bhuzwisisa	LLLL	v		make enquiries endlessly; ask many questions
	bi	H	adj.		bad; ugly
bu	bi	H	n	14	ugliness
zwi	bi	H	n	8	sins
chi	bi	H	n	7	sin
	bibi	HL	n	5	pile of cutoff trees awaiting being burnt
	bidwa	HH	v		ripen; be well cooked
	bidwisa	HHL	v		cause to ripen or get cooked,  as of food
	bidwisa-zila	HHHLL	v		go regularly; visit very often
	bidza	LL	v		cause to become sour; ferment
	biga	HL	v		put ; store
	biganya	HHL	v		to keep safely; to bury; store away
	biganyiwa	HLHL	v		be buried
	bigila	HHL	v		lay eggs, as of a hen; put away for
	bigilidza	HLHL	v		lay-away; put a container underneath in order to catch whatever is being poured; engaged to marry
	biibi	HHL	adj.		very ugly
	bika	HL	v		give a report; report a matter
chi	bikiri	HHL	n	7	tin; can
	bila	LL	v		boil, as of water
	bilebile	HHHL	n	5	hot pepper
ma	bili	LH	n	6	twins
m	bili	LL	n	3	the body of a living person; the body of a thing
chi	bili	LL	n	7	bodily form; in person
lu	bilo	LL	n	11	speed, in running; rapid pace; a race
	binga	LL	v		confront
	bipa-moyo	HHLL	adj.		be cruel; to be evil
	bipila	HHL	v		fit badly, as of clothing
m	bisana	HHH	n	1	boy
li	bisi	HH	n	11	fresh milk
	bisi	HL	n	5	watermelon
li	bisi	HL	n	11	watermelon plant
m	bisi	HL	n	10	watermelon plants
	biyapidza	LLLL	v		smoothen; to make smooth
